Register,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,testFrameworks,Generate,Compile,Build
5558,true,"""monolith""","""session""","""ehcache""","""hazelcast""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""no""",true,false,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
5560,true,"""monolith""","""session""","""no""","""no""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""no""",false,true,true,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
5561,true,"""monolith""","""oauth2""","""no""","""no""","""spring-websocket""","""mongodb""","""mongodb""","""mongodb""","""maven""","""no""",false,true,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
5563,true,"""monolith""","""session""","""no""","""no""","""no""","""sql""","""postgresql""","""postgresql""","""maven""","""elasticsearch""",true,true,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
5566,true,"""monolith""","""session""","""hazelcast""","""no""","""spring-websocket""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",true,true,false,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
5569,true,"""monolith""","""session""","""ehcache""","""no""","""no""","""sql""","""mariadb""","""mariadb""","""maven""","""elasticsearch""",true,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
5570,true,"""monolith""","""session""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""postgresql""","""postgresql""","""maven""","""elasticsearch""",true,false,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
5574,true,"""gateway""","""jwt""","""no""","""hazelcast""","""no""","""mongodb""","""mongodb""","""mongodb""","""maven""","""no""",false,true,false,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
5577,true,"""monolith""","""session""","""hazelcast""","""no""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",true,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
5579,true,"""monolith""","""session""","""ehcache""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",true,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
5582,true,"""gateway""","""jwt""","""no""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,true,false,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
5583,true,"""monolith""","""oauth2""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""InMemory""","""mysql""","""maven""","""no""",false,true,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
5588,true,"""gateway""","""jwt""","""ehcache""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,true,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
5589,true,"""monolith""","""session""","""hazelcast""","""no""","""spring-websocket""","""sql""","""DiskBased""","""mysql""","""maven""","""no""",true,true,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
5590,true,"""gateway""","""jwt""","""no""","""hazelcast""","""no""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,false,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
5591,true,"""gateway""","""jwt""","""no""","""no""","""no""","""sql""","""InMemory""","""mariadb""","""maven""","""elasticsearch""",false,true,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
5593,true,"""monolith""","""jwt""","""ehcache""","""hazelcast""","""no""","""sql""","""InMemory""","""postgresql""","""maven""","""elasticsearch""",false,true,false,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
5596,true,"""monolith""","""session""","""hazelcast""","""no""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",true,false,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
5597,true,"""monolith""","""session""","""no""","""no""","""spring-websocket""","""sql""","""DiskBased""","""postgresql""","""maven""","""no""",false,false,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
5600,true,"""gateway""","""jwt""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""mariadb""","""mariadb""","""maven""","""elasticsearch""",false,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
5607,true,"""monolith""","""jwt""","""no""","""hazelcast""","""no""","""sql""","""DiskBased""","""mysql""","""maven""","""no""",true,false,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
5609,true,"""monolith""","""session""","""hazelcast""","""no""","""no""","""sql""","""DiskBased""","""mysql""","""maven""","""elasticsearch""",true,true,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
5611,true,"""microservice""","""jwt""","""hazelcast""",ND,ND,"""sql""","""postgresql""","""postgresql""","""maven""","""elasticsearch""",ND,ND,true,"[""cucumber"",""gatling""]",OK,OK,OK
5615,true,"""monolith""","""session""","""hazelcast""","""no""","""spring-websocket""","""sql""","""InMemory""","""mysql""","""maven""","""no""",false,false,false,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
5623,true,"""gateway""","""jwt""","""hazelcast""","""no""","""spring-websocket""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,true,false,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
5627,true,"""monolith""","""session""","""no""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""no""",false,true,true,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
5628,true,"""microservice""","""jwt""","""ehcache""",ND,ND,"""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",ND,ND,true,"[""cucumber"",""gatling""]",OK,OK,OK
